;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05/08/2020 17:22:50
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Math.c,1613 :: 		
;__Lib_Math.c,1628 :: 		
0x015E	0x0E22      	MOVLW       34
;__Lib_Math.c,1629 :: 		
0x0160	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,1630 :: 		
0x0162	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,1631 :: 		
0x0164	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,1632 :: 		
0x0166	0x6A0A      	CLRF        R10, 0
;__Lib_Math.c,1633 :: 		
0x0168	0x6A0B      	CLRF        R11, 0
;__Lib_Math.c,1635 :: 		
_NEXT:
;__Lib_Math.c,1639 :: 		
0x016A	0x060C      	DECF        R12, 1, 0
;__Lib_Math.c,1640 :: 		
0x016C	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,1641 :: 		
0x016E	0xD01F      	BRA         _EXIT2
;__Lib_Math.c,1642 :: 		
0x0170	0x90D8      	BCF         STATUS, 0, 0
;__Lib_Math.c,1644 :: 		
_LOOP:
;__Lib_Math.c,1653 :: 		
0x0172	0x320B      	RRCF        R11, 1, 0
;__Lib_Math.c,1654 :: 		
0x0174	0x320A      	RRCF        R10, 1, 0
;__Lib_Math.c,1655 :: 		
0x0176	0x3209      	RRCF        R9, 1, 0
;__Lib_Math.c,1656 :: 		
0x0178	0x3208      	RRCF        R8, 1, 0
;__Lib_Math.c,1657 :: 		
0x017A	0x3203      	RRCF        R3, 1, 0
;__Lib_Math.c,1658 :: 		
0x017C	0x3202      	RRCF        R2, 1, 0
;__Lib_Math.c,1659 :: 		
0x017E	0x3201      	RRCF        R1, 1, 0
;__Lib_Math.c,1660 :: 		
0x0180	0x3200      	RRCF        R0, 1, 0
;__Lib_Math.c,1665 :: 		
0x0182	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1666 :: 		
0x0184	0xD7F2      	BRA         _NEXT
;__Lib_Math.c,1667 :: 		
0x0186	0x060C      	DECF        R12, 1, 0
;__Lib_Math.c,1668 :: 		
0x0188	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,1669 :: 		
0x018A	0xD009      	BRA         _EXIT1
;__Lib_Math.c,1676 :: 		
0x018C	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,1677 :: 		
0x018E	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,1678 :: 		
0x0190	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1681 :: 		
0x0192	0x2209      	ADDWFC      R9, 1, 0
;__Lib_Math.c,1682 :: 		
0x0194	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1685 :: 		
0x0196	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,1686 :: 		
0x0198	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1689 :: 		
0x019A	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,1691 :: 		
0x019C	0xD7EA      	BRA         _LOOP
;__Lib_Math.c,1693 :: 		
_EXIT1:
;__Lib_Math.c,1698 :: 		
0x019E	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,1699 :: 		
0x01A0	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,1700 :: 		
0x01A2	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1703 :: 		
0x01A4	0x2209      	ADDWFC      R9, 1, 0
;__Lib_Math.c,1704 :: 		
0x01A6	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1707 :: 		
0x01A8	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,1708 :: 		
0x01AA	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1711 :: 		
0x01AC	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,1714 :: 		
_EXIT2:
;__Lib_Math.c,1716 :: 		
0x01AE	0x0012      	RETURN      0
; end of _Mul_32x32_U
_Mmc_Read_Sector:
;__Lib_Mmc.c,229 :: 		
;__Lib_Mmc.c,234 :: 		
0x01B0	0xDF57      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,236 :: 		
0x01B2	0x0E00      	MOVLW       0
0x01B4	0x0A00      	XORLW       0
0x01B6	0xE102      	BNZ         L__Mmc_Read_Sector66
0x01B8	0x0E04      	MOVLW       4
0x01BA	0x1846      	XORWF       __Lib_Mmc_cardType, 0 
L__Mmc_Read_Sector66:
0x01BC	0xE109      	BNZ         L_Mmc_Read_Sector29
;__Lib_Mmc.c,237 :: 		
0x01BE	0xF2DEC2D6  	MOVFF       FARG_Mmc_Read_Sector_sector, Mmc_Read_Sector_byte_start_L0
0x01C2	0xF2DFC2D7  	MOVFF       FARG_Mmc_Read_Sector_sector+1, Mmc_Read_Sector_byte_start_L0+1
0x01C6	0xF2E0C2D8  	MOVFF       FARG_Mmc_Read_Sector_sector+2, Mmc_Read_Sector_byte_start_L0+2
0x01CA	0xF2E1C2D9  	MOVFF       FARG_Mmc_Read_Sector_sector+3, Mmc_Read_Sector_byte_start_L0+3
0x01CE	0xD014      	BRA         L_Mmc_Read_Sector30
L_Mmc_Read_Sector29:
;__Lib_Mmc.c,239 :: 		
0x01D0	0x0E09      	MOVLW       9
0x01D2	0x6E00      	MOVWF       R0 
0x01D4	0xF2DEC2D6  	MOVFF       FARG_Mmc_Read_Sector_sector, Mmc_Read_Sector_byte_start_L0
0x01D8	0xF2DFC2D7  	MOVFF       FARG_Mmc_Read_Sector_sector+1, Mmc_Read_Sector_byte_start_L0+1
0x01DC	0xF2E0C2D8  	MOVFF       FARG_Mmc_Read_Sector_sector+2, Mmc_Read_Sector_byte_start_L0+2
0x01E0	0xF2E1C2D9  	MOVFF       FARG_Mmc_Read_Sector_sector+3, Mmc_Read_Sector_byte_start_L0+3
0x01E4	0x5000      	MOVF        R0, 0 
L__Mmc_Read_Sector67:
0x01E6	0xE008      	BZ          L__Mmc_Read_Sector68
0x01E8	0x0102      	MOVLB       2
0x01EA	0x37DE      	RLCF        Mmc_Read_Sector_byte_start_L0, 1, 1
0x01EC	0x91DE      	BCF         Mmc_Read_Sector_byte_start_L0, 0, 1
0x01EE	0x37DF      	RLCF        Mmc_Read_Sector_byte_start_L0+1, 1, 1
0x01F0	0x37E0      	RLCF        Mmc_Read_Sector_byte_start_L0+2, 1, 1
0x01F2	0x37E1      	RLCF        Mmc_Read_Sector_byte_start_L0+3, 1, 1
0x01F4	0x0FFF      	ADDLW       255
0x01F6	0xD7F7      	BRA         L__Mmc_Read_Sector67
L__Mmc_Read_Sector68:
L_Mmc_Read_Sector30:
0x01F8	0x0102      	MOVLB       2
;__Lib_Mmc.c,242 :: 		
0x01FA	0x0E11      	MOVLW       17
0x01FC	0x6FE4      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x01FE	0xF2E5C2DE  	MOVFF       Mmc_Read_Sector_byte_start_L0, FARG___Lib_Mmc_Mmc_Send_Command_content
0x0202	0xF2E6C2DF  	MOVFF       Mmc_Read_Sector_byte_start_L0+1, FARG___Lib_Mmc_Mmc_Send_Command_content+1
0x0206	0xF2E7C2E0  	MOVFF       Mmc_Read_Sector_byte_start_L0+2, FARG___Lib_Mmc_Mmc_Send_Command_content+2
0x020A	0xF2E8C2E1  	MOVFF       Mmc_Read_Sector_byte_start_L0+3, FARG___Lib_Mmc_Mmc_Send_Command_content+3
0x020E	0x0EFF      	MOVLW       255
0x0210	0x6FE9      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0212	0xDF28      	RCALL       __Lib_Mmc_Mmc_Send_Command
;__Lib_Mmc.c,243 :: 		
0x0214	0x5200      	MOVF        R0, 1 
0x0216	0xE004      	BZ          L_Mmc_Read_Sector31
;__Lib_Mmc.c,245 :: 		
0x0218	0xDF16      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,246 :: 		
0x021A	0x0E01      	MOVLW       1
0x021C	0x6E00      	MOVWF       R0 
0x021E	0x0012      	RETURN      0
;__Lib_Mmc.c,247 :: 		
L_Mmc_Read_Sector31:
;__Lib_Mmc.c,249 :: 		
L_Mmc_Read_Sector32:
0x0220	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0224	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0228	0x0EFF      	MOVLW       255
0x022A	0x6EE6      	MOVWF       POSTINC1 
0x022C	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x0230	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0234	0xDEFC      	RCALL       _____DoIFC
0x0236	0x5000      	MOVF        R0, 0 
0x0238	0x0AFE      	XORLW       254
0x023A	0xE001      	BZ          L_Mmc_Read_Sector33
;__Lib_Mmc.c,250 :: 		
0x023C	0xD7F1      	BRA         L_Mmc_Read_Sector32
L_Mmc_Read_Sector33:
;__Lib_Mmc.c,253 :: 		
0x023E	0x0102      	MOVLB       2
0x0240	0x6BDC      	CLRF        Mmc_Read_Sector_i_L0, 1
0x0242	0x6BDD      	CLRF        Mmc_Read_Sector_i_L0+1, 1
L_Mmc_Read_Sector34:
0x0244	0x0E02      	MOVLW       2
0x0246	0x5DDD      	SUBWF       Mmc_Read_Sector_i_L0+1, 0, 1
0x0248	0xE102      	BNZ         L__Mmc_Read_Sector69
0x024A	0x0E00      	MOVLW       0
0x024C	0x5DDC      	SUBWF       Mmc_Read_Sector_i_L0, 0, 1
L__Mmc_Read_Sector69:
0x024E	0xE21B      	BC          L_Mmc_Read_Sector35
;__Lib_Mmc.c,255 :: 		
0x0250	0x51DC      	MOVF        Mmc_Read_Sector_i_L0, 0, 1
0x0252	0x25DA      	ADDWF       FARG_Mmc_Read_Sector_dbuff, 0, 1
0x0254	0x6FE2      	MOVWF       FLOC__Mmc_Read_Sector, 1
0x0256	0x51DD      	MOVF        Mmc_Read_Sector_i_L0+1, 0, 1
0x0258	0x21DB      	ADDWFC      FARG_Mmc_Read_Sector_dbuff+1, 0, 1
0x025A	0x6FE3      	MOVWF       FLOC__Mmc_Read_Sector+1, 1
0x025C	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0260	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0264	0x0EFF      	MOVLW       255
0x0266	0x6EE6      	MOVWF       POSTINC1 
0x0268	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x026C	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0270	0xDEDE      	RCALL       _____DoIFC
0x0272	0xFFE1C2E2  	MOVFF       FLOC__Mmc_Read_Sector, FSR1L
0x0276	0xFFE2C2E3  	MOVFF       FLOC__Mmc_Read_Sector+1, FSR1H
0x027A	0xFFE6C000  	MOVFF       R0, POSTINC1
;__Lib_Mmc.c,253 :: 		
0x027E	0x0102      	MOVLB       2
0x0280	0x4BDC      	INFSNZ      Mmc_Read_Sector_i_L0, 1, 1
0x0282	0x2BDD      	INCF        Mmc_Read_Sector_i_L0+1, 1, 1
;__Lib_Mmc.c,256 :: 		
0x0284	0xD7DF      	BRA         L_Mmc_Read_Sector34
L_Mmc_Read_Sector35:
;__Lib_Mmc.c,259 :: 		
0x0286	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x028A	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x028E	0x0EFF      	MOVLW       255
0x0290	0x6EE6      	MOVWF       POSTINC1 
0x0292	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x0296	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x029A	0xDEC9      	RCALL       _____DoIFC
;__Lib_Mmc.c,260 :: 		
0x029C	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x02A0	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x02A4	0x0EFF      	MOVLW       255
0x02A6	0x6EE6      	MOVWF       POSTINC1 
0x02A8	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x02AC	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x02B0	0xDEBE      	RCALL       _____DoIFC
;__Lib_Mmc.c,262 :: 		
0x02B2	0xDEC9      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,265 :: 		
0x02B4	0x6A00      	CLRF        R0 
;__Lib_Mmc.c,266 :: 		
0x02B6	0x0012      	RETURN      0
; end of _Mmc_Read_Sector
_Mmc_Write_Sector:
;__Lib_Mmc.c,274 :: 		
;__Lib_Mmc.c,278 :: 		
0x02B8	0xDED3      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,280 :: 		
0x02BA	0x0E00      	MOVLW       0
0x02BC	0x0A00      	XORLW       0
0x02BE	0xE102      	BNZ         L__Mmc_Write_Sector70
0x02C0	0x0E04      	MOVLW       4
0x02C2	0x1846      	XORWF       __Lib_Mmc_cardType, 0 
L__Mmc_Write_Sector70:
0x02C4	0xE109      	BNZ         L_Mmc_Write_Sector37
;__Lib_Mmc.c,281 :: 		
0x02C6	0xF2DEC2D6  	MOVFF       FARG_Mmc_Write_Sector_sector, Mmc_Write_Sector_byte_start_L0
0x02CA	0xF2DFC2D7  	MOVFF       FARG_Mmc_Write_Sector_sector+1, Mmc_Write_Sector_byte_start_L0+1
0x02CE	0xF2E0C2D8  	MOVFF       FARG_Mmc_Write_Sector_sector+2, Mmc_Write_Sector_byte_start_L0+2
0x02D2	0xF2E1C2D9  	MOVFF       FARG_Mmc_Write_Sector_sector+3, Mmc_Write_Sector_byte_start_L0+3
0x02D6	0xD014      	BRA         L_Mmc_Write_Sector38
L_Mmc_Write_Sector37:
;__Lib_Mmc.c,283 :: 		
0x02D8	0x0E09      	MOVLW       9
0x02DA	0x6E00      	MOVWF       R0 
0x02DC	0xF2DEC2D6  	MOVFF       FARG_Mmc_Write_Sector_sector, Mmc_Write_Sector_byte_start_L0
0x02E0	0xF2DFC2D7  	MOVFF       FARG_Mmc_Write_Sector_sector+1, Mmc_Write_Sector_byte_start_L0+1
0x02E4	0xF2E0C2D8  	MOVFF       FARG_Mmc_Write_Sector_sector+2, Mmc_Write_Sector_byte_start_L0+2
0x02E8	0xF2E1C2D9  	MOVFF       FARG_Mmc_Write_Sector_sector+3, Mmc_Write_Sector_byte_start_L0+3
0x02EC	0x5000      	MOVF        R0, 0 
L__Mmc_Write_Sector71:
0x02EE	0xE008      	BZ          L__Mmc_Write_Sector72
0x02F0	0x0102      	MOVLB       2
0x02F2	0x37DE      	RLCF        Mmc_Write_Sector_byte_start_L0, 1, 1
0x02F4	0x91DE      	BCF         Mmc_Write_Sector_byte_start_L0, 0, 1
0x02F6	0x37DF      	RLCF        Mmc_Write_Sector_byte_start_L0+1, 1, 1
0x02F8	0x37E0      	RLCF        Mmc_Write_Sector_byte_start_L0+2, 1, 1
0x02FA	0x37E1      	RLCF        Mmc_Write_Sector_byte_start_L0+3, 1, 1
0x02FC	0x0FFF      	ADDLW       255
0x02FE	0xD7F7      	BRA         L__Mmc_Write_Sector71
L__Mmc_Write_Sector72:
L_Mmc_Write_Sector38:
0x0300	0x0102      	MOVLB       2
;__Lib_Mmc.c,286 :: 		
0x0302	0x0E18      	MOVLW       24
0x0304	0x6FE4      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0306	0xF2E5C2DE  	MOVFF       Mmc_Write_Sector_byte_start_L0, FARG___Lib_Mmc_Mmc_Send_Command_content
0x030A	0xF2E6C2DF  	MOVFF       Mmc_Write_Sector_byte_start_L0+1, FARG___Lib_Mmc_Mmc_Send_Command_content+1
0x030E	0xF2E7C2E0  	MOVFF       Mmc_Write_Sector_byte_start_L0+2, FARG___Lib_Mmc_Mmc_Send_Command_content+2
0x0312	0xF2E8C2E1  	MOVFF       Mmc_Write_Sector_byte_start_L0+3, FARG___Lib_Mmc_Mmc_Send_Command_content+3
0x0316	0x0EFF      	MOVLW       255
0x0318	0x6FE9      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x031A	0xDEA4      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x031C	0x5200      	MOVF        R0, 1 
0x031E	0xE004      	BZ          L_Mmc_Write_Sector39
;__Lib_Mmc.c,288 :: 		
0x0320	0xDE92      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,289 :: 		
0x0322	0x0E01      	MOVLW       1
0x0324	0x6E00      	MOVWF       R0 
0x0326	0x0012      	RETURN      0
;__Lib_Mmc.c,290 :: 		
L_Mmc_Write_Sector39:
;__Lib_Mmc.c,294 :: 		
